consumer_unit_id,age_of_reference_person,education_level,region_code,income_range_code,total_annual_spending,spending_class
5090674,31,,West,1.0,65058.999999991,Medium
5090904,53,,Midwest,4.0,20460.7999999881,Low
5091064,37,,South,1.0,37321.4999999001,Medium
5091174,65,,Northeast,1.0,107015.400000999,Medium
5091294,46,,South,5.0,67298.99999989,Medium
5091324,38,,Midwest,1.0,142285.999999011,High
5091364,48,,South,1.0,64438.00000100001,Medium
5091464,53,,West,1.0,193423.00000099998,High
5091504,46,,South,1.0,55700.999999009,Medium
5091684,51,,West,1.0,244341.99999899,High
5091784,60,,South,1.0,260461.00000092998,High
5091874,44,,South,5.0,175866.000000902,High
5091894,45,,West,1.0,16879.999999999,Low
5092144,68,,West,5.0,206822.999999079,High
5092394,47,,Midwest,1.0,17707.999999991,Low
5092404,47,,Midwest,1.0,191270.00000103898,High
5092964,40,,West,1.0,231082.7999999789,High
5093114,56,,South,1.0,-578897.00000001,Low
5093204,35,,West,1.0,196788.99999892002,High
5093364,35,,Midwest,1.0,104026.199999998,Medium
5093414,58,,West,5.0,271048.500001019,High
5093534,53,,South,1.0,176234.999999022,High
5093824,43,,Northeast,1.0,112738.499998982,Medium
5093904,37,,South,1.0,108338.000000003,Medium
5093964,46,,Midwest,1.0,103254.0,Medium
5094064,64,,Northeast,1.0,105723.000000992,Medium
5094104,60,,Midwest,1.0,227695.000000999,High
5094234,33,,Northeast,4.0,247287.99999896812,High
5094314,39,,West,1.0,272565.00000092987,High
5094374,42,,South,1.0,176752.9999999091,High
5094494,51,,Northeast,5.0,34404.99999999,Medium
5094684,72,,West,1.0,8305.999999999,Low
5094734,67,,Northeast,1.0,303328.250002068,High
5094824,60,,South,2.0,84184.99999899999,Medium
5094904,29,,Midwest,1.0,84489.999998988,Medium
5094914,50,,South,1.0,85933.000000009,Medium
5095344,27,,Northeast,1.0,15262.0000000009,Low
5095544,41,,South,1.0,8504.9999999811,Low
5095564,43,,Northeast,1.0,130794.599999988,High
5095744,44,,West,1.0,118060.00000101999,High
5095794,63,,West,1.0,23746.000000002,Low
5095854,54,,West,1.0,159246.999999991,High
5096174,38,,Midwest,1.0,39465.000000092,Medium
5096274,75,,West,1.0,54137.99999979,Medium
5096344,47,,Midwest,4.0,111576.999999973,Medium
5096354,52,,Midwest,1.0,267764.999999009,High
5096364,28,,Midwest,3.0,90897.99999999,Medium
5096464,35,,Midwest,4.0,14775.999999994,Low
5096684,33,,West,1.0,125443.0000010009,High
5096714,67,,Midwest,1.0,55934.49999999,Medium
5096764,53,,West,1.0,307340.000000901,High
5096804,35,,South,4.0,541760.99999897,High
5096944,39,,Midwest,1.0,41840.999999961,Medium
5096984,59,,Midwest,4.0,92709.99999901009,Medium
5097084,34,,Midwest,1.0,11095.9999999998,Low
5097234,54,,Northeast,1.0,92777.99999999,Medium
5097334,61,,South,1.0,145523.0000010102,High
5097554,47,,Northeast,1.0,105259.999999983,Medium
5097664,32,,Midwest,1.0,37746.000000072,Medium
5097724,30,,Midwest,1.0,103018.50000003,Medium
5097874,56,,South,1.0,15299.500000119,Low
5097934,35,,South,1.0,110637.99999998,Medium
5098064,51,,Midwest,4.0,79790.99999898899,Medium
5098264,75,,Northeast,1.0,59111.799999001,Medium
5098314,50,,Northeast,5.0,200758.999999849,High
5098344,53,,West,1.0,135561.00000101,High
5098464,43,,South,1.0,33462.9999998981,Medium
5098614,47,,South,1.0,16151.999999971,Low
5098634,42,,South,5.0,70700.999999931,Medium
5098674,46,,South,1.0,258308.000001,High
5098694,53,,Northeast,1.0,195823.999998988,High
5098714,57,,South,5.0,171858.00000089,High
5098854,38,,West,1.0,21898.999999981,Low
5098894,47,,South,1.0,100223.9999999911,Medium
5099004,36,,South,2.0,136560.000000999,High
5099204,30,,West,1.0,24239.0,Low
5099394,46,,Northeast,1.0,16649.600000083,Low
5099564,61,,South,5.0,318599.99999981996,High
5099904,51,,Northeast,1.0,557281.24999006,High
5099944,49,,West,4.0,259927.999999889,High
5100234,57,,Northeast,4.0,85620.000001023,Medium
5100264,44,,Northeast,1.0,226950.25,High
5100374,65,,Midwest,1.0,75544.99999899599,Medium
5100494,41,,West,1.0,195622.000000881,High
5100584,63,,South,1.0,206681.2999989821,High
5101064,24,,South,1.0,13942.000000001,Low
5101214,54,,Northeast,4.0,111575.99999901,Medium
5101224,55,,Northeast,4.0,158048.250000991,High
5101254,64,,Northeast,5.0,92910.000001007,Medium
5101314,52,,South,1.0,446852.900000279,High
5101334,36,,Northeast,1.0,201392.999999032,High
5101414,33,,South,1.0,96942.00000003,Medium
5101724,66,,West,3.0,102249.00000101,Medium
5101834,64,,West,5.0,94092.000000991,Medium
5101894,55,,South,1.0,283276.9999999401,High
5101954,37,,South,1.0,265027.99999902013,High
5102544,69,,West,5.0,566511.249989969,High
5102564,40,,Midwest,1.0,124709.000000992,High
5102584,54,,West,1.0,195654.499999899,High
5102804,51,,South,5.0,89277.750001019,Medium
5102814,53,,South,1.0,15590.0,Low
5102894,43,,West,1.0,190032.00000097,High
5103114,46,,West,1.0,581222.4999901789,High
5103144,26,,South,1.0,210558.00000002098,High
5103384,40,,West,1.0,280638.999998998,High
5103424,49,,Midwest,1.0,53929.000001007,Medium
5103484,69,,South,1.0,41331.000000099004,Medium
5103554,58,,Midwest,1.0,79908.99999897,Medium
5103694,36,,South,2.0,119682.000000011,High
5103784,32,,Midwest,1.0,56003.999998997,Medium
5103894,42,,West,3.0,140322.000000019,High
5104044,39,,South,1.0,99472.999999998,Medium
5104324,29,,South,1.0,17878.000000001,Low
5104364,73,,West,1.0,245519.999998911,High
5104384,61,,Midwest,1.0,163910.200000978,High
5104404,42,,West,1.0,11664.00000001,Low
5104434,74,,South,1.0,72263.0000000111,Medium
5104554,47,,Northeast,3.0,13830.000000009,Low
5104864,42,,West,1.0,257132.9999998599,High
5104874,38,,South,1.0,143966.999999919,High
5104964,49,,South,4.0,22777.99999988,Low
5104994,64,,Northeast,1.0,106712.999998979,Medium
5105014,35,,South,5.0,139299.0000010008,High
5105024,29,,South,2.0,14394.000000011,Low
5105084,42,,Midwest,1.0,76690.999999992,Medium
5105154,35,,Midwest,1.0,50053.00000007,Medium
5105174,50,,Northeast,1.0,195713.499999019,High
5105214,26,,South,3.0,87265.99999900309,Medium
5105244,53,,West,1.0,209882.000000001,High
5105424,28,,Midwest,1.0,43059.000000007,Medium
5105534,52,,West,3.0,127700.000001013,High
5105544,59,,Midwest,4.0,66862.000000992,Medium
5105564,30,,West,2.0,114629.000001001,Medium
5105634,42,,South,5.0,174841.999998991,High
5105654,40,,Midwest,1.0,145568.999999912,High
5105694,60,,South,5.0,132359.00000001,High
5105744,39,,West,1.0,21107.999999931002,Low
5105804,28,,West,5.0,17653.999999989,Low
5106034,55,,West,2.0,198225.000000002,High
5106144,64,,Midwest,4.0,239852.999998801,High
5106254,62,,West,5.0,26059.999999921,Low
5106274,31,,South,1.0,9845.999999999,Low
5106434,38,,West,1.0,524701.999990011,High
5106464,63,,Northeast,1.0,54454.499999981,Medium
5106564,30,,South,1.0,21847.99999998,Low
5106664,54,,South,1.0,33799.75,Medium
5106674,80,,South,5.0,289901.3999989791,High
5106714,53,,South,1.0,11220.000000012,Low
5106734,31,,Midwest,4.0,148865.599999909,High
5106934,37,,West,5.0,21445.199999991,Low
5106994,57,,West,5.0,165319.00000102998,High
5107004,54,,South,1.0,74994.499999002,Medium
5107014,68,,West,4.0,11039.0000000221,Low
5107064,41,,Northeast,1.0,126690.99999899301,High
5107094,29,,South,1.0,38905.999999891,Medium
5107164,40,,South,1.0,79128.5,Medium
5107224,68,,West,1.0,182627.999999021,High
5107274,69,,Northeast,1.0,112277.999998991,Medium
5107464,33,,West,1.0,128852.99999999,High
5107504,18,,West,1.0,17974.000000021,Low
5107644,46,,South,4.0,146260.999998972,High
5107814,49,,Midwest,1.0,85565.9999999811,Medium
5107824,63,,Northeast,2.0,199080.250000101,High
5107834,62,,South,1.0,6555.0,Low
5107924,54,,West,4.0,266384.000000022,High
5108024,50,,South,1.0,111396.49999989,Medium
5108144,39,,South,5.0,193081.99999899,High
5108264,81,,West,5.0,387337.00000099,High
5108384,58,,Northeast,1.0,11702.000000012,Low
5108484,56,,South,1.0,13626.99999991,Low
5108544,27,,West,1.0,10504.0,Low
5108574,39,,Midwest,1.0,125751.75000001899,High
5108794,41,,West,1.0,540617.249990119,High
5108974,38,,Northeast,1.0,199872.999999101,High
5109064,44,,Northeast,4.0,190277.99999901,High
5109314,35,,South,1.0,30153.500000089,Medium
5109374,70,,South,1.0,117278.00000097901,High
5109434,70,,South,1.0,677039.00000002,High
5109604,46,,Midwest,3.0,134360.999999931,High
5109734,37,,Northeast,1.0,37651.000000009,Medium
5110354,30,,South,1.0,150806.999998993,High
5110444,40,,South,1.0,107687.00000099,Medium
5110494,37,,South,4.0,19042.99999992,Low
5110574,61,,South,1.0,74489.00000101,Medium
5110704,44,,South,1.0,183980.600000092,High
5110724,58,,South,1.0,530139.249990079,High
5110734,47,,Midwest,4.0,130482.00000099001,High
5110824,55,,South,1.0,36771.0000000199,Medium
5111074,66,,Northeast,3.0,192669.4999989801,High
5111094,23,,West,1.0,10915.000000003,Low
5111274,52,,Midwest,4.0,145922.99999999,High
5111394,63,,Northeast,1.0,120115.00000103301,High
5111404,65,,South,1.0,91308.0,Medium
5111524,69,,Northeast,1.0,101151.000000989,Medium
5111634,44,,Northeast,1.0,186140.00000102,High
5112074,36,,South,1.0,64043.999999910004,Medium
5112164,40,,West,1.0,198012.20000097898,High
5112194,29,,West,1.0,27495.999999891,Low
5112374,51,,Midwest,4.0,119531.50000093,High
5112644,36,,West,1.0,253674.0,High
5112784,67,,South,3.0,60590.999999018,Medium
5113004,31,,South,1.0,14336.000000011,Low
5113034,60,,Northeast,4.0,137525.2500001,High
5113044,62,,South,1.0,151147.999999011,High
5113074,34,,Northeast,1.0,104647.49999897,Medium
5113254,43,,South,1.0,81253.0000000009,Medium
5113524,62,,Midwest,3.0,105650.000000009,Medium
5113634,48,,West,1.0,274383.999998999,High
5113664,45,,Northeast,1.0,112718.999998899,Medium
5114004,41,,South,1.0,306493.800001001,High
5114204,52,,Midwest,1.0,60037.000000021,Medium
5114384,49,,South,5.0,137872.999999999,High
5114434,66,,West,1.0,256481.999999011,High
5114544,38,,South,1.0,113331.00000098,Medium
5114654,66,,South,1.0,207265.00000899,High
5114684,46,,Midwest,1.0,100876.7499998911,Medium
5114824,47,,Midwest,1.0,71417.999999992,Medium
5114954,73,,West,1.0,522065.749990011,High
5115174,37,,South,3.0,127862.99999899001,High
5115234,63,,West,1.0,52516.9999990111,Medium
5115274,64,,West,2.0,274387.249999,High
5115294,35,,Northeast,1.0,246408.999999001,High
5115394,44,,Midwest,5.0,233139.250000109,High
5115494,27,,West,1.0,18777.000000012,Low
5115584,45,,West,1.0,13585.00000003,Low
5115714,34,,Northeast,1.0,27967.9999999082,Low
5115754,36,,South,1.0,103148.999998977,Medium
5115784,52,,West,4.0,207200.000000019,High
5115794,43,,Midwest,1.0,58853.0000008898,Medium
5115844,57,,Northeast,5.0,139642.000000011,High
5116004,62,,South,1.0,8265.000000001,Low
5116034,61,,West,1.0,15783.9999998891,Low
5116084,60,,Midwest,1.0,56188.500000987995,Medium
5116124,32,,South,1.0,79536.750000996,Medium
5116294,57,,South,1.0,102938.0000009701,Medium
5116414,60,,Midwest,1.0,138596.749999911,High
5116424,41,,Midwest,1.0,327721.249999172,High
5116504,60,,Midwest,1.0,100725.00000004101,Medium
5116564,49,,West,5.0,18652.999999999,Low
5116654,71,,Northeast,1.0,265745.400000029,High
5116834,62,,South,1.0,11053.00000002,Low
5116894,59,,Northeast,1.0,125898.50000003,High
5116934,49,,South,5.0,264866.249999991,High
5116944,41,,West,3.0,540804.2499900889,High
5117024,31,,West,1.0,16459.99999993,Low
5117204,58,,West,1.0,228242.999999988,High
5117294,37,,Midwest,1.0,84088.999998911,Medium
5117434,37,,Midwest,1.0,113107.000000021,Medium
5117444,60,,Midwest,1.0,66921.000000958,Medium
5117484,55,,West,5.0,275473.399998999,High
5117624,77,,South,1.0,192358.000001009,High
5117744,53,,Northeast,1.0,142114.999999972,High
5117954,62,,Midwest,1.0,129337.99999899301,High
5117974,38,,South,1.0,136177.99999991,High
5117984,27,,South,3.0,15543.000000012,Low
5118164,81,,Midwest,5.0,151787.99999889202,High
5118274,55,,South,1.0,172277.999998932,High
5118394,32,,Northeast,1.0,217852.74999909,High
5118464,29,,West,1.0,10367.9999999899,Low
5118494,45,,Midwest,1.0,54139.000000879,Medium
5118554,41,,West,1.0,264872.99999894,High
5118794,43,,South,1.0,15525.0,Low
5118824,56,,West,1.0,222632.749999998,High
5118884,58,,Northeast,1.0,82178.000001001,Medium
5119174,31,,South,1.0,24829.4999999901,Low
5119204,37,,West,1.0,30193.000000011,Medium
5119284,56,,West,5.0,227219.9999991,High
5119384,67,,Northeast,5.0,88462.999998999,Medium
5119394,52,,West,1.0,177813.00000002,High
5119434,47,,Midwest,1.0,104962.99999889,Medium
5119454,50,,South,2.0,156137.00000097998,High
5119984,52,,South,4.0,67362.000001007,Medium
5120044,38,,West,1.0,81464.99999991,Medium
5120074,45,,South,1.0,93996.0000010208,Medium
5120084,44,,West,1.0,291552.99999897,High
5120204,51,,Midwest,1.0,71413.000000011,Medium
5120244,59,,Midwest,1.0,35201.999999889995,Medium
5120254,24,,West,1.0,143635.25000100798,High
5120384,54,,Northeast,1.0,114798.000001031,Medium
5120454,40,,West,1.0,20702.00000001,Low
5120544,72,,West,3.0,122136.49999902911,High
5120614,51,,Northeast,1.0,65681.00000098,Medium
5120764,64,,West,1.0,121620.000000011,High
5120774,78,,West,1.0,225554.00000098,High
5120854,27,,South,1.0,12919.999999999,Low
5120914,60,,South,1.0,14457.999999978,Low
5120954,42,,Northeast,1.0,11338.9999999991,Low
5120984,37,,Midwest,1.0,87429.999998919,Medium
5121024,41,,Northeast,1.0,352784.2500009989,High
5121144,44,,South,4.0,27501.00000001,Low
5121224,30,,Midwest,1.0,59288.999998998,Medium
5121244,38,,South,1.0,180018.99999994,High
5121434,61,,South,1.0,130930.00000098,High
5121664,58,,West,5.0,260239.999999999,High
5121824,29,,South,1.0,109077.75000100001,Medium
5121934,38,,South,1.0,111500.999999989,Medium
5122194,57,,West,1.0,369273.2500000911,High
5122264,28,,Midwest,1.0,105255.99999991,Medium
5122294,26,,Northeast,3.0,232904.00000089,High
5122394,64,,South,1.0,10951.0,Low
5122434,75,,South,1.0,61608.999999,Medium
5122554,70,,South,3.0,226625.00000101,High
5122594,50,,South,1.0,15217.000000006,Low
5122674,44,,West,1.0,44749.999999912,Medium
5122744,43,,South,1.0,131506.99999999,High
5122774,56,,Northeast,1.0,22060.999999982,Low
5123154,29,,South,1.0,20459.0000000101,Low
5123164,43,,Northeast,1.0,121666.24999999,High
5123184,61,,Midwest,1.0,231136.250001079,High
5123294,49,,West,1.0,630711.249989928,High
5123504,72,,South,1.0,303077.249999,High
5123524,39,,Midwest,4.0,143922.99999900901,High
5123774,56,,Northeast,1.0,146426.000001011,High
5123854,58,,South,5.0,107997.749999,Medium
5124074,47,,South,1.0,119534.000000021,High
5124124,36,,Midwest,5.0,76580.750000971,Medium
5124204,25,,Northeast,1.0,15364.999999999,Low
5124484,34,,West,4.0,184931.7999999799,High
5124564,59,,South,1.0,90950.999999001,Medium
5124624,24,,South,1.0,13528.000000009,Low
5124794,49,,West,1.0,227121.999998993,High
5124934,55,,Midwest,1.0,97004.999999983,Medium
5124954,40,,West,1.0,43333.9999998,Medium
5125034,64,,South,1.0,131792.500000011,High
5125114,34,,South,1.0,68805.00000101101,Medium
5125214,49,,Northeast,3.0,93131.9999999999,Medium
5125224,52,,West,1.0,206093.00000101,High
5125324,44,,South,1.0,95315.499999989,Medium
5201613,50,,South,3.0,10742.999999998,Low
5201663,71,,South,1.0,140818.999999869,High
5201693,33,,South,1.0,245129.999999101,High
5201743,40,,West,1.0,16952.0000000071,Low
5201773,24,,South,1.0,76263.99999899999,Medium
5201873,40,,South,1.0,146680.999999983,High
5201883,64,,West,1.0,30258.000000001,Medium
5201933,45,,South,1.0,369442.65000004997,High
5201993,48,,Midwest,1.0,47121.000000113,Medium
5202043,25,,Northeast,1.0,100289.99999899999,Medium
5202403,59,,Northeast,4.0,40116.999999882,Medium
5202423,26,,Midwest,1.0,17005.0000000009,Low
5202443,60,,West,1.0,190141.00000101,High
5202543,28,,South,3.0,320346.9999999989,High
5202813,27,,Northeast,1.0,134348.999999969,High
5203053,63,,South,1.0,199027.50000099998,High
5203073,33,,West,1.0,211664.99999999002,High
5203213,31,,Northeast,1.0,96437.9999998499,Medium
5203343,24,,Midwest,1.0,152491.7500009871,High
5203383,66,,Northeast,5.0,121067.0000000201,High
5203413,42,,West,2.0,129916.99999893,High
5203583,52,,West,1.0,279482.99999997,High
5203663,49,,Northeast,1.0,165196.000001002,High
5203763,42,,Northeast,1.0,105411.999999018,Medium
5203863,42,,South,1.0,138520.999998901,High
5203973,38,,West,1.0,19021.249999091993,Low
5204393,37,,South,5.0,13577.0000000089,Low
5204403,60,,Northeast,1.0,238567.99999896903,High
5204413,62,,West,1.0,542528.9999899109,High
5204613,37,,Northeast,1.0,208896.999999933,High
5204643,41,,West,1.0,277843.999998982,High
5204953,35,,West,1.0,100432.000000022,Medium
5205513,74,,Midwest,5.0,209385.0000010201,High
5205763,79,,Midwest,5.0,9075.999999999,Low
5205783,52,,Midwest,2.0,70891.50000089781,Medium
5205843,71,,West,4.0,119289.99999899011,High
5205853,56,,South,1.0,75045.0000009791,Medium
5205863,59,,South,1.0,273377.19999909,High
5205953,52,,Midwest,1.0,327172.000001002,High
5206073,43,,West,1.0,219265.9999990322,High
5206143,31,,South,4.0,406079.999999901,High
5206233,64,,West,5.0,210277.999999998,High
5206383,46,,South,1.0,182200.00000099099,High
5206453,31,,Northeast,1.0,78835.999999009,Medium
5206473,40,,Northeast,1.0,247640.000000999,High
5206483,52,,South,3.0,94214.00000000901,Medium
5206593,52,,Northeast,1.0,16115.9999999,Low
5206663,31,,Midwest,3.0,136887.000000909,High
5206743,43,,West,5.0,175007.5000009909,High
5206913,45,,West,3.0,106730.499999009,Medium
5207033,31,,South,1.0,19986.00000002,Low
5207073,54,,South,5.0,49039.9999999999,Medium
5207253,57,,South,2.0,214109.50000101,High
5207303,77,,Midwest,1.0,88459.74999993,Medium
5207353,50,,Northeast,5.0,222583.000001001,High
5207383,53,,South,1.0,207938.999999958,High
5207403,47,,South,1.0,34372.999999901,Medium
5207543,37,,Midwest,1.0,216277.999999001,High
5207673,47,,Midwest,1.0,108872.0500012,Medium
5207713,66,,Northeast,4.0,201427.999998977,High
5207723,60,,West,2.0,128160.00000101101,High
5207963,52,,South,1.0,227961.250001089,High
5208003,42,,Northeast,5.0,94207.999999981,Medium
5208103,55,,South,5.0,344178.00000096,High
5208173,50,,West,5.0,220168.3499999929,High
5208233,56,,South,1.0,65220.9999999911,Medium
5208253,33,,South,1.0,12351.0,Low
5208473,61,,West,1.0,201787.999999999,High
5208553,43,,Midwest,1.0,88714.999998988,Medium
5208703,49,,South,1.0,315938.24999889,High
5208773,26,,South,3.0,19136.0,Low
5209123,49,,South,1.0,406446.499999921,High
5209333,54,,South,1.0,61402.5000000011,Medium
5209373,47,,South,1.0,200078.000000001,High
5209433,50,,South,1.0,12396.999999993,Low
5209853,60,,West,1.0,531504.249990009,High
5210143,48,,Northeast,1.0,294031.000000109,High
5210313,46,,Midwest,1.0,59042.999999984,Medium
5210433,52,,South,1.0,243627.999999989,High
5210513,43,,Midwest,1.0,5412.500001091994,Low
5210553,26,,Northeast,1.0,7976.999999991,Low
5210623,55,,Northeast,5.0,340423.250001082,High
5210693,42,,West,3.0,260718.000000081,High
5210703,61,,Midwest,1.0,62267.00000098901,Medium
5210743,46,,West,1.0,537618.24999013,High
5210803,30,,South,1.0,15282.9999999789,Low
5211013,48,,West,4.0,251125.999998962,High
5211053,36,,West,1.0,363574.00001010904,High
5211143,67,,West,1.0,221096.00000097998,High
5211343,32,,West,1.0,426891.000001012,High
5211383,47,,South,1.0,10538.000000001,Low
5211403,59,,Northeast,1.0,154007.7500008909,High
5211513,74,,South,5.0,81058.00000002,Medium
5211543,51,,West,1.0,14766.999999999,Low
5211673,42,,West,1.0,225031.9999999,High
5211793,46,,Midwest,1.0,9716.000000001,Low
5211833,45,,Northeast,4.0,84725.9999990191,Medium
5211903,29,,West,1.0,519204.9999899601,High
5212013,77,,South,3.0,156365.00000102998,High
5212063,29,,South,1.0,10612.000000001,Low
5212133,87,,West,1.0,17193.499999890002,Low
5212153,49,,South,3.0,99202.00000101101,Medium
5212353,51,,Northeast,1.0,16225.999999909,Low
5212463,51,,Midwest,3.0,163773.24999918102,High
5212583,48,,Northeast,5.0,262663.99999993097,High
5212633,40,,South,1.0,86182.99999901009,Medium
5212663,51,,West,1.0,242029.00000097998,High
5212683,61,,South,1.0,292644.99999902095,High
5212723,41,,Midwest,1.0,49116.999999977,Medium
5212793,69,,West,1.0,254385.999999,High
5213023,58,,Midwest,1.0,78396.9999990201,Medium
5213063,49,,South,1.0,47057.4999999851,Medium
5213113,62,,West,1.0,13979.000000011,Low
5213163,71,,Northeast,1.0,135127.000000971,High
5213263,25,,Midwest,1.0,19458.000000001,Low
5213363,27,,Northeast,1.0,17395.999999959,Low
5213413,46,,Northeast,2.0,159456.499999012,High
5213423,59,,South,5.0,199859.000001,High
5213603,54,,Midwest,4.0,99867.000000108,Medium
5213703,34,,South,1.0,35311.000000029,Medium
5213873,41,,West,1.0,172450.0000000222,High
5214013,61,,Northeast,1.0,90347.99999902,Medium
5214103,39,,South,1.0,122519.99999902,High
5214143,75,,Northeast,1.0,135227.99999898102,High
5214183,54,,South,1.0,61490.4,Medium
5214353,47,,Midwest,1.0,170606.000000981,High
5214433,52,,Midwest,1.0,153203.999999931,High
5214513,43,,Northeast,1.0,323887.499999193,High
5214543,59,,West,1.0,549144.99999004,High
5214643,87,,West,1.0,90344.00000101101,Medium
5214683,45,,West,1.0,146173.00000102,High
5214933,37,,South,1.0,78465.99999899999,Medium
5214983,30,,South,1.0,90829.000000022,Medium
5215033,42,,Northeast,1.0,25729.999999911,Low
5215103,30,,South,3.0,109611.000000998,Medium
5215143,52,,Northeast,1.0,15595.99999999,Low
5215183,51,,Northeast,1.0,154509.400000893,High
5215223,32,,West,1.0,16835.0000000281,Low
5215553,24,,Midwest,1.0,9162.000000009,Low
5215563,60,,South,1.0,224326.000000018,High
5215613,67,,West,1.0,47877.000000003,Medium
5215793,47,,Midwest,5.0,219971.999999881,High
5215823,65,,West,1.0,195684.00000102,High
5215853,87,,Midwest,5.0,2493.0,Low
5215963,62,,Northeast,5.0,356915.749999897,High
5216013,42,,West,1.0,21558.999999890002,Low
5216053,66,,South,1.0,131142.00000102,High
5216073,62,,Midwest,1.0,62557.000000991,Medium
5216083,50,,West,1.0,222363.000001003,High
5216193,72,,West,1.0,186157.000001,High
5216233,41,,Midwest,1.0,62055.000001001004,Medium
5216483,48,,West,2.0,524677.999990021,High
5216613,54,,Midwest,1.0,124770.000000889,High
5216664,39,,West,1.0,195718.000000988,High
5216713,60,,Northeast,1.0,186102.50000099,High
5216893,60,,West,1.0,333580.999999928,High
5216903,51,,West,4.0,184330.0000000111,High
5216993,48,,Midwest,1.0,147646.99999999,High
5217003,52,,West,1.0,537465.249990069,High
5217013,66,,South,1.0,50166.000000989996,Medium
5217183,51,,Midwest,5.0,12011.0,Low
5217233,46,,South,1.0,95891.00000101101,Medium
5217263,56,,Northeast,1.0,81468.999998979,Medium
5217403,54,,Northeast,1.0,193520.999999133,High
5217503,72,,South,1.0,51554.99999999,Medium
5217633,58,,West,1.0,255732.999998921,High
