QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,FURNRNTX,FURN_NTX,REPFURNX,REPF_RNX,REPPURCH
20232,05094104,17,0,1,,A,525,D,2
20232,05095674,7,0,1,,A,1000,D,
20232,05101254,17,0,1,,A,1580,D,
20232,05114504,16,0,1,,A,250,D,
20232,05116054,4,0,1,,A,30,D,
20232,05120124,6,0,1,,A,8,D,
20232,05120774,3,0,1,,A,80,D,
20232,05122404,10,0,1,,A,20,D,
20232,05123304,12,0,1,,A,10,D,
20232,05201813,8,0,1,,A,500,D,
20232,05206523,6,0,1,59,D,,A,
20232,05219713,6,0,1,,A,23,D,
20232,05221213,11,0,1,,A,360,D,
20232,05222983,12,0,1,,A,12,D,2
20232,05223433,15,0,1,,A,30,D,
20232,05224143,9,0,1,1500,D,,A,
20232,05230493,2,0,1,,A,1000,D,
20232,05231943,14,0,1,,A,90,D,
20232,05235963,12,0,1,,A,87,D,2
20232,05252662,20,0,1,,A,10,D,
20232,05253312,13,0,1,,A,1000,D,
20232,05265462,8,0,1,,A,50,D,
20232,05267562,5,0,1,,A,500,D,
20232,05269622,13,0,1,,A,500,D,
20232,05269752,9,0,1,,A,750,D,
20232,05272342,13,0,1,30,D,,A,
20232,05273622,11,0,1,,A,125,D,
20232,05285682,3,0,1,,A,41,D,2
20232,05287521,9,0,1,,A,100,D,
20232,05287781,4,0,1,60,D,,A,
20232,05290231,16,0,1,,A,50,D,
20232,05293891,6,0,1,,A,30,D,
20232,05295551,4,0,1,,A,130,D,
20232,05295941,15,0,1,2500,D,,A,
20232,05344491,8,0,1,1300,D,,A,
20232,05345411,7,0,1,,A,190,D,
20232,05345841,16,0,1,,A,20,D,
20232,05356551,9,0,1,,A,50,D,
20232,05356881,4,0,1,,A,,A,
20232,05358241,6,0,1,600,D,,A,
20232,05359474,8,0,1,175,D,,A,
20232,05360171,11,0,1,2000,D,,A,
20232,05362133,12,0,1,,A,130,D,
20232,05366691,13,0,1,285,D,,A,
20233,05203044,11,0,1,,A,160,D,
20233,05206734,4,0,1,,A,20,D,
20233,05206844,11,0,1,,A,650,D,
20233,05214404,12,0,1,,A,75,D,
20233,05223914,3,0,1,,A,,A,
20233,05224984,7,0,1,,A,38,D,
20233,05228554,5,0,1,,A,10,D,
20233,05260853,16,0,1,800,D,,A,
20233,05268433,9,0,1,120,D,,A,
20233,05270303,3,0,1,,A,,A,
20233,05272593,9,0,1,,A,1249,D,2
20233,05273313,9,0,1,,A,300,D,
20233,05274723,9,0,1,,A,16,D,
20233,05275093,10,0,1,,A,225,D,
20233,05275453,4,0,1,2000,D,,A,
20233,05276353,10,0,1,1800,D,,A,
20233,05277993,17,0,1,,A,2663,D,2
20233,05278183,6,0,1,,A,15,D,
20233,05280713,26,0,1,,A,52,D,1
20233,05283283,7,0,1,,A,700,D,3
20233,05283583,15,0,1,,A,50,D,
20233,05287522,17,0,1,,A,15,D,
20233,05345582,9,0,1,,A,600,D,
20233,05350592,8,0,1,,A,60,D,
20233,05359542,12,0,1,,A,70,D,
20233,05360172,13,0,1,2000,D,,A,
20233,05414921,15,0,1,1372,D,,A,
20233,05417621,14,0,1,,A,1700,D,
20233,05418621,10,0,1,,A,150,D,
20233,05423461,7,0,1,,A,300,D,
20233,05425321,18,0,1,2100,D,,A,
20233,05425991,5,0,1,150,D,,A,
20233,05428981,4,0,1,,A,,A,
20233,05432451,7,0,1,,A,50,D,
20233,05433661,12,0,1,,A,312,D,
20233,05434531,9,0,1,,A,2000,D,
20233,05436091,10,0,1,,A,220,D,
20234,05252634,10,0,1,,A,117,D,
20234,05252804,10,0,1,,A,6,D,
20234,05253204,9,0,1,,A,30,D,
20234,05253664,6,0,1,,A,60,D,
20234,05257734,20,0,1,,A,300,D,
20234,05258004,12,0,1,,A,12,D,
20234,05258524,4,0,1,800,D,,A,
20234,05264034,14,0,1,,A,6,D,
20234,05264334,8,0,1,,A,16,D,2
20234,05266474,5,0,1,,A,200,D,
20234,05267544,22,0,1,,A,17,D,
20234,05268594,9,0,1,,A,30,D,2
20234,05269624,10,0,1,,A,450,D,
20234,05275444,9,0,1,,A,37,D,
20234,05276024,16,0,1,,A,100,D,
20234,05281304,16,0,1,,A,10,D,
20234,05283284,7,0,1,,A,790,D,3
20234,05296683,6,0,1,,A,33,D,
20234,05297233,11,0,1,660,D,,A,
20234,05345633,10,0,1,,A,40,D,
20234,05345973,13,0,1,,A,12,D,
20234,05347213,3,0,1,,A,,A,
20234,05349033,8,0,1,,A,100,D,3
20234,05354753,8,0,1,,A,300,D,
20234,05360173,6,0,1,250,D,,A,
20234,05360553,21,0,1,,A,200,D,1
20234,05366443,6,0,1,,A,70,D,
20234,05411832,5,0,1,,A,100,D,
20234,05417852,37,0,1,150,D,,A,
20234,05422482,6,0,1,,A,50,D,
20234,05426962,10,0,1,,A,800,D,
20234,05433982,12,0,1,,A,1500,D,
20234,05434072,13,0,1,,A,90,D,
20234,05443542,10,0,1,,A,40,D,
20234,05444902,5,0,1,,A,150,D,
20234,05539641,10,0,1,,A,50,D,
20234,05540921,6,0,1,400,D,,A,
20234,05541222,16,0,1,,A,10,D,
20234,05541671,8,0,1,,A,260,D,
20234,05547781,7,0,1,2600,D,,A,
20234,05554651,6,0,1,,A,500,D,
20234,05555961,5,0,1,,A,250,D,2
20234,05558501,18,0,1,,A,20,D,
20241,05286774,9,0,1,,A,150,D,
20241,05289004,3,0,1,,A,800,D,
20241,05291974,8,0,1,45,D,,A,
20241,05293954,14,0,1,,A,30,D,
20241,05294254,17,0,1,,A,15,D,
20241,05348014,11,0,1,,A,447,D,
20241,05354274,18,0,1,,A,305,D,
20241,05357804,8,0,1,,A,100,D,
20241,05419723,5,0,1,,A,10,D,
20241,05419763,3,0,1,900,D,,A,
20241,05429513,4,0,1,42,D,,A,
20241,05430283,9,0,1,120,D,,A,
20241,05433983,11,0,1,,A,950,D,
20241,05442673,10,0,1,200,D,,A,
20241,05443113,3,0,1,,A,330,D,
20241,05541672,6,0,1,,A,270,D,
20241,05544212,3,0,1,,A,,A,
20241,05545582,17,0,1,,A,900,D,2
20241,05550612,8,0,1,,A,2500,D,
20241,05551412,22,0,1,,A,60,D,
20241,05551682,3,0,1,200,D,,A,
20241,05554652,11,0,1,,A,720,D,
20241,05560952,15,0,1,,A,20,D,
20241,05561042,7,0,1,,A,25,D,
20241,05564722,15,0,1,,A,15,D,
20241,05565632,3,0,1,,A,,A,
20241,05568052,9,0,1,,A,40,D,
20241,05570012,8,0,1,,A,480,D,
20241,05572352,22,0,1,800,D,,A,
20241,05574871,6,0,1,,A,150,D,
20241,05576951,5,0,1,,A,200,D,
20241,05580601,17,0,1,,A,280,D,
20241,05581211,10,0,1,,A,150,D,
20241,05581391,9,0,1,,A,25,D,
20241,05581881,6,0,1,,A,130,D,
20241,05587781,3,0,1,,A,,A,
20241,05594221,8,0,1,488,D,,A,
20241,05597611,13,0,1,,A,23,D,
20241,05599231,6,0,1,,A,40,D,
20241,05601051,3,0,1,,A,,A,
20241,05603191,9,0,1,,A,45,D,
20241,05604731,10,0,1,,A,,A,
20241,05606281,12,0,1,,A,100,D,
20241,05606671,9,0,1,,A,3000,D,
